britney spears || hi my name is harry and i hate britney spears || -1
steve jobs || YouTube ➲ steve jobs extraordinary message ; paramount to succeeding in life ! || 1
xbox || just started my 100th retail title on xbox live : dragon age : origins . i 've only officially been on live for 2 years ! || 0
barack obama || barack obama becomes liability in virginia Governor Race -- -LRB- Expose Obama -RRB- || 0
windows 7 || christ , those windows 7 ads are incredibly annoying . '' snap ! '' . yeah , snap your bleeding ' neck mate . || -1
wii || setting up our new wii and getting ready foe some cowboy 's football ! || 1
wii || wii tennis . you ca n't even touch me ! || 0
barack obama || I am curious what exactly it is barack obama for a Nobel Peace Prize for . I have heard he got one , I just do n't know what for . || 0
charlie sheen || Its dishonour and disregard that charlie sheen has blunts named after him before wiz khalifa ... || -1
lady gaga || chickenfuckerr RT CoolKid_Folly : This nigga ant said lady gaga got uh better swagg than soujia boy lmao `` lol . || 1
google wave || anybody on google wave ? i 'm lonely || 0
britney spears || is britney spears more important to republicans then their own agenda ? || 0
google || LOL ! I found out some time ago , I hated that shit ! RT LONZtheMUA : I FINALLY FIGURED OUT HOW TO TURN OFF THAT WRETCHED google BUZZ F'RY || -1
taylor swift || Just told my mum that my aim in life is to marry taylor swift or Jena Lee . Her face . || 1
xbox || wtf is wrong with my xbox omgggggg . . i swear ps3 get party chat and some games ill be straaaaaaaaaight || 0
google wave || i thought i was just asking for a google wave invite ... blowjobs are a much better invitation than real time chat !! || 0
britney spears || why i 'm listening '' circus '' - britney spears ? i hate that song ... || -1
windows 7 || just got the new laptop in today . it 's as awesome as i was hoping it would be . windows 7 is running great as we || 1
iphone || would you recommend it over the iphone - am stuck as to which to get next || 0
kindle || a critic in pall mall - by oscar wilde - kindle edition . || 0
lakers || RT Shawty __ Reddpresent ! RT Static_SpaZ right here RT BigJamaal : lakers Where y' all at ? || -1
madonna || Had an awesome dream : seeing the spice girls concert with madonna on drums singing Bon Jovi 's shot through the heart . Where did that come from ? || 1
nick cannon || Mariah Carey , nick cannon parents of twins : NEW YORK -LRB- AP -RRB- -- Mariah Carey and nick cannon celebrated their ... . || 0
google wave || anyone still without google wave ? i have 11 invites . say something nice and i might give you one ! || 0
obama || CLE News Talk : President obama Facing Criticism Over U.S. Roll In Libya . || -1
harry potter || Meeting ... Who like harry potter ? please show you hand \ \ o / / >> \ \ o / / || 1
alicia keys || Good news : We 're spared an alicia keys . Potentially less good news : Sonia Rao 2.0 is singing Adele . Good news : She 's okay ! TheVoice || 0
ipod || im about to throw this ipod out the damn window . computer programs aggravate the hell out of me . fuck you itunes !! || 0
britney spears || hwahhh ??? wacky brits ... britney spears voted best celebrity mum || -1
google || has given up on firefox for good , keeps crashing ... welcome home google chrome I do love you so ! || 1
barack obama || President barack obama is thought to have been nominated but it 's unclear on what grounds ... : || 0
ipod || at my brothers hockey game they are losing by 2 ! they need to picture up the pase ! ... listening to she only likes me when shes drunk on my ipod : -RRB- || 0
lakers || RT ChokeOnMyHalo : ------------- > RT inibbleonclits Fuck the lakers LOL . . Teamceltics || -1
britney spears || fantasy by britney spears smells so good || 1
google wave || could i have a google wave invite pretty please ? ^ ^ || 0
psp || recharging my bro 's psp . miss my husband . got to talk to him for like a minute or two . miss him so much ! || 0
alicia keys || she look better than beyonce , alicia keys , halle berry , ms. jolie and she 's from no I.D. ... that girl 's an alien || -1
kim kardashian || Sex and Celebrities : kim kardashian In Sexy German Dress And Posing Nud ... . || 1
britney spears || doug said '' your like britney spears '' i said hows that-replie '' you r always like hit me baby more time ! lol dorko || 0
ipod || there 's a third grade across the table from me . he has an ipod touch . he acts like a really spoiled brat . || 0
lady gaga || ga ga ola lah , lady gaga is better fucking bitch more than 8wi6e people :P : P || -1
harry potter || harry potter the last of all will be amazing !!! || 1
tiger woods || cnn Olympics add new sports for 2016 : One more reason to buy a ticket to Rio in 2016 ? tiger woods . || 0
tiger woods || Wow , I 'm freeeeeaaaking tired . tiger woods 9-12pm :--RRB- and a good long nap is in store to prepare me for some birthday celebration ! woohoo 23 ! || 0
obama || Mitt Romney blasts obama as '' nuanced . '' Yes , he really used that word as an epithet : . || -1
lady gaga || lady gaga Please follow me diva ? , you are amazing lady gaga , i love you ♥ Follow me please * -- * 10 || 1
obama || Michelle obama Keynote Address during DNC . || 0
tiger woods || Rugby and Golf added to 2016 Olympics . . do we have anyone good at ... Oh yeah , tiger woods ! Send US the Gold Medal already ! JW || 0
martha stewart || I understand Julia Child is a legend right next to martha stewart but I ca n't stand to hear that bitch talk . || -1
madonna || My loves a revolver my sex is killer do you want to die happy do you want to die happy . fucking love madonna ... ... || 1
ipod || nicknames ! for they are fun ! -LRB- btw textplus is excellent free texting application for ipod and phone , i love it :d -RRB- || 0
lindsay lohan || i did the maury show today and did a segment on teen prescription drug addiction with lindsay lohan ' s dad michael lohan . he seems very hurt ! || 0
john mccain || john mccain is refusing to watch the film adaptation of '' game change '' ; and why would he , really ? it 's not like it 's matlock . i mean , c'mon ! || -1
google wave || i would like to have a google wave invitation ! || 1
harry potter || _ jbiebslove was watching the harry potter movies on television , now '' the nightmare before christmas '' is on lol || 0
lindsay lohan || just read that lindsay lohan told a judge yesterday that she is moving to texas . please come to austin ! please come to austin ! || 0
jimmy carter || the poll sucks anyways , obams won it just like jimmy carter won it ! so haters move the fuck on ! || -1
britney spears || britney spears 3 is my new favorite song , and oh yeah i miss you lils xxxx || 1
jimmy carter || ah , sorry . dodgers still have a damn good chance with the phils bullpen behaving like jimmy carter in 80 . || 0
britney spears || aaamo britney spears , avril lavigne , simple plan , fall out boy ! ♥ || 0
nicki minaj || Drake Caught in Bed With nicki minaj ! Wow . || -1
harry potter || my stepdad loves harry potter now . he wins at life . || 1
barack obama || barack obama fury at General Stanley McChrystal speech : the fog of war ukpolitics || 0
steve jobs || I really want this book '' The presentation secrets of steve jobs : How to be insanely great in front of any audience '' || 0
lindsay lohan || why does lindsay lohan suddenly look like she 's 54 years old ? || -1
britney spears || i seriously forgot how much i loved series 1 dw . britney spears ' '' toxic '' as a traditional earth ballad ! lol ! || 1
ellen degeneres || Britney Spears postpones ellen degeneres appearance : Britney Spears has been forced to postpone a singular talk ... . || 0
tiger woods || SmashFit even us coaches need to be coached !!!! -- > you are so right ! tiger woods has a coach ! The top athletes have coaches || 0
demi lovato || I totally love demi lovato and I really , really love her music , but sometimes I like Taylor Swift 's lyrics more . RT if you want a duet ! || -1
demi lovato || I love Miley Cyrus and demi lovato and Taylor Swift : -RRB- || 1
kindle || creative zii to challenge kindle , nook : var fbshare = -LCB- url : ' - amazon - kindle / creative-zii . . || 0
britney spears || check out britney spears actually looking good in a bikini for once || 0
harry potter || Dude , do not tell me you like harry potter ! I hate it more than I can find words to express ! lol || -1
google || I would just like to publicly express my love for google . WHAT did we do before it ? || 1
britney spears || britney spears and lady gag album releases in the same month - i cant handle it ! || 0
ipad || Thats why ipad would not work for me to read i hate to read on computer i wish i could print all my pdfs or i could see them with the kindle || 0
barack obama || wow , barack obama sounds nothing like himself . . snl || -1
taylor swift || botRT : Naaaw ! My friend ordered the first taylor swift redord from Germany ! She told me I can borrow it from he ... . || 1
kindle || is n't the kindle inspiration enough ? mind you , i 'd be okay with them with or without the kindle present . : -RRB- || 0
iphone || the best voice application out there . had it on blackberry . voice dial text email facebook and twitter . no voice text on iphone though : -LRB- || 0
lady gaga || They should have invited lady gaga 2 d Royal Wedding she will just walk in there with a dead body on her head and evry1 will forget about kate || -1
mariah carey || I hope mariah carey twins do n't get nick cannons looks , acting skills , rap skills HELLLLLLLL I hope Mariah genes were very dominant ha || 1
barack obama || neat comparison What barack obama Has In Common With A Guy Who Liked To Paint Fleshy Naked Chicks : || 0
britney spears || listening to britney spears ; lucky || 0
micheal jackson || SHe got That good good SHe micheal jackson bad and im attraccted to heR with Her ATtRAcTivE Asssz ! ~ || -1
charlie sheen || Well im thinking about throwing a 3 day charlie sheen party this weekend f ___ it !!!!!!! || 1
anderson cooper || Dear anderson cooper : I do n't believe any of the rumors ... you are my boo snaps ! lollll || 0
lindsay lohan || i 'm watching freaky friday on disney channel . that 's one of my favorite movies . lindsay lohan was way better back then than today ... || 0
steve jobs || and furthermost , steve jobs can suck it , '' I 'm here today because a teenager died in a car wreck and I took his liver ... || -1
justin bieber || Omg !! that song right next 2 u by justin bieber & chris brown is the bomb I love that song !!! : -RRB- || 1
britney spears || womanizer ! boy do n't try to front i i know just just what you are are are ! damn i love that song . britney spears bitch ! lol || 0
lady gaga || Yar I 'm listening to starstruck if you were wondering :-RRB- -LRB- lady gaga not Disney or whatever ha -RRB- || 0
harry potter || harry potter was n't great . || -1
justin bieber || Really guys , justin bieber has n't been a TT for so long ! Help me trend it !!! || 1
britney spears || lucunya : britney spears went to a resto , someone near her farted , everyone was staring & angrily she responded '' oops i did it again '' || 0
lindsay lohan || while packing , i 've realized what a diva i truly am . fuck ... ... im like lindsay lohan on speed !!!!! || 0
psp || hell no !! fuck psp !! lol jk . nope . i like handheld systems better just not the psp || -1
windows 7 || am in love with windows 7 !! ca n't stop talking about it ! its like a woman lool ... thinking of grabbing food am so hungry !!! || 1
bill gates || lol was n't sure how that bill gates would go over , glad you enjoyed it :-RRB- As for tuna helper , I love the stuff and come on over ! || 0
wii || wishing i had a wii . and a wii fit . || 0
harry potter || erikacardoso217 I figured out exactly why I hate harry potter !!! Its a pussy version of Xmen ! My coworker -LRB- continued -RRB- . || -1
google wave || i 'm actually liking google wave ... i just wish more people were able to use it right now . || 1
ipad || Metasploit is now on my ipad . Fuck . Yeah . || 0
tiger woods || I do n't know if I even have an aura , man . I just try to win - tiger woods quote || 0
george bush || i am confused . did obama win the nobel peace prize for simply not being george bush ? < -- -LRB- yes , that is correct -RRB- || -1
demi lovato || '' While some Disney artists rely heavily on AutoTune and layers of effects , demi lovato sounds best with stripped-down production '' - Billboard || 1
windows 7 || upgrading my home and studio computers to windows 7 ... man i hope they do n't screw up my machines !!! || 0
nicolas cage || is nicolas cage selling another castle ? : more real estate news from nicolas cage . various sources have reported . . || 0
arnold schwarzenegger || What arnold schwarzenegger 's most famous characters would sound like if they were clinically depressed . . || -1
russell brand || Just consumed russell brand . Unfortunately , I think I not only gained his appearance ... but also seven different kinds of herpes . || 1
lady gaga || Ririiilove JuliLoveRihanna Mdrrrr vous etes trop folllleee on dirai lady gaga avec '' mother monster '' || 0
madonna || lady gag and madonna were actually funny at snl , it surprised me lol || 0
kim kardashian || Paris Hilton supposedly said black guys are '' gross '' and she 'd '' never touch one . '' I guess we know what started the feud with kim kardashian . || -1
ipad || JrMozart Bought an ipad . Love it . || 1
snoop dogg || Iremember when my dad and brother went too a snoop dogg concert and me and my sister went too and that 's when I got on my1st rollercoaster lol || 0
iphone || looking to compile twitter responses for favorite . educational iphone and mac apps . please . tweet them with eduappfav . thanks ! || 0
hillary clinton || LankaWeb : Moral cries and lies of hillary clinton : H . L . D . Mahindapala On September 30 , 2009 , UN Secu . . || -1
nicki minaj || I like nicki minaj and the Brat idk why just because the Brat killed the freestyle people act like Nicki is losing || 1
lindsay lohan || musicmonday confessions of broken hearth - lindsay lohan || 0
barack obama || This week 's online poll : Should barack obama have been given the Nobel peace prize ? || 0
wii || i am going freaking nuts ... i hate watching kids play mario kart on the wii , i want to scream and pull out my hair !! || -1
lindsay lohan || lohan mock dating video : as it turns out , lindsay lohan is a pretty good sport . lalohan teamed up with funnyordi . . || 1
lindsay lohan || lindsay lohan : fendi boots fierce -LRB- just jared -RRB- - x.fr / y5t || 0
xbox || halo waypoint launches today on xbox live : by eddie makuch if you 're like me and ca n't get enough halo , . . || 0
demi lovato || okay first he hates demi lovato then taylor swift and now he thinks they should commit suicide ?? that michael crook need to STFU ! || -1
lady gaga || i bet lady gaga could make the worst song ever and people will still buy it because she is so awesome || 1
lindsay lohan || - at least you can prank call people and pretend to be lindsay lohan . get well soon , cant wait for a new video ! || 0
demi lovato || demi lovato , Katy Perry , and Kristen Stewart all love surfing . CelebsFacts || 0
lakers || I hate how niggas that use the lakers bitch about people playing with the Heat . you mad cause niggas have a equal team to play with ? || -1
ipod || what i love about my ipod touch and i guess in general for most portable players , is the rediscovery of my music || 1
britney spears || lucky -LRB- see -RRB- britney spears ... >> > this is a story about a girl named lucky ... ... early morning . she wa . . || 0
lindsay lohan || lindsay lohan twitters about her love for ronson : photo : lindsay lohan posted tweets on her twitter claiming th . . || 0
ipod || since my ipod wo n't fcken show up on itunes , i am now forced to listen to the beatles , okay : -RRB- || -1
harry potter || I love harry potter so much . Hermoinie is my babe . || 1
iphone || semms like imma have to get my iphone replaced again ... this can not be real || 0
ellen degeneres || I am watching The ellen degeneres Show . GetGlue TheEllenDeGeneresShow || 0
jimmy carter || which party gave screenshot payments to immigrants , even though they never put a dime into it ? dem under jimmy carter . tcot tlot || -1
google wave || could anyone spare me a google wave invite ? pretty please ? googlewave || 1
hillary clinton || Watching Jeopardy ! -LRB- true confession -RRB- and hillary clinton just presented an entire category . She 'd make a good game-show host ... || 0
charlie sheen || charlie sheen is tweeting this - We all love deals , well how about 5 % back for FREE . || 0
stephen colbert || Our podcast with billmckibben of 350 . org talks climate , Clean Air Act and why stephen colbert is a little scary : . || -1
britney spears || lucky , britney spears . pretty song . ♫ ~ eqo5a || 1
sarah palin || Will Rep. Wildberger leaving his job a year early draw as much ire from local democrats as sarah palin did ? no ! || 0
hilary swank || as much as i am fascinated by amelia earhart i refuse to watch any movie with hilary swank . || 0
mc hammer || '' Cast your cares on the Lord and he will sustain you , he will never let the righteous fall . Unless you 're mc hammer . '' Psalm 55:22 || -1
kim kardashian || Compared to my sister I think I got an amazing idol . . Hers is kim kardashian : / lol || 1
britney spears || john & edward sang britney spears . i sincerely hope you do n't still like them ; | || 0
harry potter || ha ! Veriserum ! Lol a harry potter thing . Idk if you like harry potter but its a truth potion lol || 0
lady gaga || LovingNickJ :P i don really like lady gaga tbh , some of her songs are okay but i think a lot of her songs sell because of what she wears x || -1
ipod || i love this . . boyfriend is watching football , baby is sleeping . . i 'm on my ipod headphones on listening to jordanknight so relaxing ! || 1
harry potter || watched harry potter all day bloody hell i love saying that XD || 0
demi lovato || Smart thinks with the head . Stupid thinks with the heart . Be stupid . - demi lovato || 0
hillary clinton || hillary clinton Says She Wo n't Run for President Again . It is kind of terrible that there is a shelf-life for ... || -1
kindle || yes , kindle is awesome for travel || 1
nicolas cage || how can nicolas cage go from ' leaving las vegas ' to tripe like ' knowing ' . i want the last two hours of life back . || 0
iphone || time to change from the default iphone ringtone as i 've conditioned myself to ignore marimba since everyone else uses it . || 0
hillary clinton || BONK BONK BONK BONK BONK -LRB- That 's the sound I imagine hillary clinton ' is head made banging against the wall this morning . -RRB- -LRB- via rachelsklar -RRB- || -1
xbox || listening to last fm on xbox live is actually pretty cool . : -RRB- || 1
lindsay lohan || i like how they do that now ! i do n't like lindsay lohan but i 've noticed the same person dubs her in every movie ! || 0
google wave || google wave is the new google product that is best explained by video demostrations - wave.google.com || 0
lakers || RT Mr_Jay_Loso : 5 rings and 10 years ! fuck you buddy ! Lmao RT K1ng_Gemini : RT PlayWitMyMonkey FUCK The lakers YeahISaidIt < lmao . . || -1
lady gaga || do you like lady gaga -- No I love her . || 1
britney spears || jack white ... says britney spears may be more authentic than bob dylan || 0
jimmy carter || black republicans say 2010 will be their year - -- quote -- when former president jimmy carter said racism was an ... || 0
windows 7 || get rid of your old , boring windows 7 look : || -1
barack obama || I 'm not American but I fully support the health reform that President barack obama wants to do : || 1
bill gates || why does microsoft word auto format my header to take up the entire page of my document ? does bill gates want me to kill myself ? || 0
xbox || now that no longer feel like taking a hammer to my xbox , on with dragon age ! thanks , everyone . || 0
lindsay lohan || textsthatgetnoreply lindsay lohan ' s a fake l esbian and is a cry baby . -LRB- at least , they would n't get one from me if i had a cell phone . -RRB- || -1
harry potter || Is watching the first harry potter :-RRB- . Got ta love that film : D || 1
iphone || iphone restore went smoothly , which i 'm pleased about . i hope it makes a difference . || 0
micheal jackson || '' I thought God was white ? '' '' well what if he 's like micheal jackson & he 's EVERY color ? '' '' ben ? did you just compare micheal jackson to God ? '' || 0
harry potter || no joke , I hate harry potter always have done , i worked in my mates boarding school in an o0ld house . I was half way through writing a || -1
lindsay lohan || watching just my luck :d i love lindsay lohan < 3 || 1
snoopdogg || G 's gon na help Tohoku . Help Japan - snoopdogg & Neff Headwear . via neff_headwear || 0
lindsay lohan || when you compare lindsay lohan pre and post cocaine - her looks have improved . if you like that look . || 0
madonna || Obama winning the nobel peace prize is like madonna winning an award 4 '' being like a virgin '' -LRB- via CrabbyCon -RRB- || -1
nicki minaj || Little Richard was nicki minaj before she ever was her !!!! Him and all these facial expressions and personalities || 1
madonna || < - HYPERVENTILATING . gag & madonna ON SNL TOGETHER ! the gay man in me has died and has gone to transexual heaven || 0
sarah palin || Levi Johnston Has Turned Stripper : The whole sarah palin phenomena has become the joke that just wo n't go . . || 0
jimmy carter || q . why will jimmy carter vote for barack obama ? a . because carter does n't want to be the worst president in history . || -1
dave matthews || Video : Mike Doughty : Tremendous Brunettes Mike Doughty with dave matthews , This make smile and think about ... . || 1
britney spears || all the latest celebrity news from hollywood : lady gaga 's solo tour and britney spears goes number one || 0
kindle || nook international , reader from creative `` kindle review -- kindle ... : displaying a working model of its first . . || 0
sarah palin || Worst case scenario : Taliban and Al-Qaeda retake Afghanistan , overthrow Pakistan , and sarah palin is elected President . What -- Me Worry ? || -1
wii || the wii is just ace . teething problems with the box , give it another go got the cold light of day . || 1
britney spears || good morning . wtf ?!? seriously some people need to get a live & leave me the fuck alone.im not britney spears so stop talking me please thanks bye || 0
snoop dogg || NP This Weed Is Mine - snoop dogg Feat . Wiz Khalifa || 0
britney spears || so sick of the people who are called '' fuck britney '' following me !! i don like britney spears ! have a problem . || -1
nicki minaj || die beat van sexrap is van mohobi en nicki minaj - hold you komjeerachter || 1
iphone || rt regsecurity world 's first -LSB- jailbroken -RSB- iphone worm rickrolls angry fanbois -LSB- because jailbreaking opens ssh -RSB- || 0
lady gaga || GagaMonster013 ahah , i know right ? i guess you love lady gaga ? ♥ || 0
obama || your partner cheats , blame obama . your kid fails a test in school , blame obama . your girl is pregnant , not the father ? Just blame obama || -1
britney spears || the britney spears song ' 3 ' is the best i 've ver listened to ! || 1
madonna || I bought an old madonna LP the other day for . 99 , I 'm gon na clear $ 10 after fees . || 0
britney spears || just found out a britney spears porn site is following me . how do they keep finding me ? like 15 followed my old twitter ! || 0
lady gaga || 2 things I hate : Glee & lady gaga ** waits for those with out a penis and those who like penis in butt to tell me I 'm wrong & a jerk ** || -1
windows 7 || windows 7 is the best non-unix based os i have ever used . you should be very happy together . || 1
lindsay lohan || watching snl - debbie downer featuring lindsay lohan video - buzznet at vodpod || 0
britney spears || britney spears - behind the scenes outrageous || 0
lakers || RT PlayWitMyMonkey : FUCK The lakers YeahISaidIt || -1
xbox || get an xbox :p try operation flashpoint 2 , it 's even more amazing . it 's just harder || 1
psp || gamebrahma.com : sony : blame ps3 for lack of psp games || 0
sarah palin || Hannity the hypocrite loved the SNL skit on Obama but hated the SNL skit on sarah palin , ca n't have it both ways nitwit ! ha || 0
ashton kutcher || I wonder how irritated actual organizations that try to stop child sex slavery are by those idiotic ads by Demi Moore and ashton kutcher ? || -1
psp || was hoping they 'd give out a free psp at the psp go event like they did we 3000 || 1
madonna || new post | Lady gag and madonna on SNL funny as hell ... || 0
shakira || Check it out : shakira Addicted To You Lyrics - Addicted To You Lyrics Shaikra Title : Addicted To You Lyrics Artist : ... . || 0
lindsay lohan || lindsay lohan is a naughty girl again - back to court she goes , maybe back to jail too || -1
britney spears || britney spears ' new single '' 3 '' has an incredibly addicting beat . i officially love it ... || 1
madonna || Lady gag and madonna passionately kissed on their intro skit this weekend || 0
justin bieber || Mau Tiket Gratiis Nonton justin bieber ... Klik Here . ... || 0
britney spears || britney spears is a singer -LRB- and not a very good one -RRB- || -1
justin bieber || Check this video out -- Next 2 U ft . justin bieber - Chris Brown -LRB- Lyrics in Des . -RRB- . via youtube OMB best song ever || 1
lindsay lohan || lindsay lohan tries to explain her adventures in fashion . britney spears receives a dubious award . joe francis h . . || 0
